name,province,address,longitude,latitude,overview
白云美术馆,浙江,浙江湖州市德清县莫干山庾村,119.895869,30.600327,发掘新锐艺术家、实现艺术的日常生活化、打破艺术家与游客界限。
杜吞美术馆,浙江,浙江省宁波章水镇杜岙村,121.22258,29.808804,公益初衷，为了把文化艺术送到乡村，在乡村建造一座简约、当代风格的美术馆、并最大程度地保留历史遗存和当地文化。
龙门美术馆,浙江,浙江省杭州市富阳市龙门古镇,119.952004,29.900716,挖掘古镇文化资源，以古建筑为载体，全方位打造古镇艺术基地。
双峰乡美术馆,浙江,浙江省金华市馨安县双峰乡,120.463972,28.936857,凸显双峰乡“文化+旅游”融合效应。
金临惭美术馆,浙江,浙江省温州市瓯海区泽雅镇,,,收藏展示温籍名家书画，兼及国内当代名家，挖捉新锐艺术家。位于一幢楼房内，馆内设施较完备。
彩虹飘马美术馆,浙江,浙江省金华市义乌县后宅街道李祖村,120.011012,29.365765,当地有一定数量的油画画家、绘画爱好者。被授予“中国意象绘画义乌研创基地”与“义乌市美术家协会油画委员会展览基地 ”。
大均乡畲族民间绘画馆,浙江,浙江省丽水市景宁县大均乡,119.565359,27.951489,大均乡畲族民间绘画馆于2020年开馆，旨在为畲画爱好者提供一个交流探索、研学教育的平台，通过此平台向大家推广畲族独有的绘画风格，让更多的人从畲画开始了解畲族，走进畲乡。
礼张美术馆,浙江,浙江省金华市浦江县岩头镇浦江县李张村,119.952406,29.479461,2016年，礼张村在古村落保护建设中修缮了新屋里廿四间头，建立了礼张美术馆。馆内内设有礼张馆、岩头馆、名人馆、白社成员作品馆，其中礼张馆主要是展示礼张籍画家作品。
金临轩美术馆,浙江,浙江省温州市瓯海区泽雅镇,120.48394,28.029494,2021年，作为温州首座乡村美术馆的金临轩美术馆落成，旨在将美术馆营建为泽雅镇对外文化交流的一扇窗口，在此展开推介温籍书画家，推介新锐的一系列活动，并通过书画展示、艺术品收藏等文化创意活动来创造新的地
祝温文化艺术馆,浙江,浙江省绍兴市上虞区崧厦镇祝温村,120.811003,30.111137,祝温文化艺术馆由中国画院副院长、祝温村著名乡贤桑火尧和村党总支书记杭兰英共同规划布置，于2019年落地，馆内有阅览室、艺文工坊、创作室、展厅等空间以及供艺术家采风创作的生活起居室、餐厅等配套设施，旨在
石门村美术馆,浙江,浙江省绍兴市诸暨市马剑镇石门村,120.025538,29.745583,石门村美术馆由书画家、收藏家乡贤朱瑶春创建，馆内藏品均为馆长本人收藏。该馆旨在敬仰前贤，传承传统文化，推动乡村旅游产业发展。
群岛美术馆,浙江,浙江省舟山市定海区干览镇,122.141956,30.11059,"群岛美术馆是舟山首个村级美术馆，展示销售海岛特色渔民画、旅游纪念品、工艺品等。
游客可以在馆内跟着名师学画渔民画，体验剪纸等非遗项目。"
溪里方美术馆,浙江,浙江省宁波市象山,121.869251,29.476826,溪里方在以保护为主的基础上，对居民古建筑“恭房”进行开发，建成了宁波首家村级美术馆。
乡村七九八文化创意园美术馆,浙江,浙江省丽水市松阳县叶村乡河头村,119.4595,28.440889,该美术馆坐落于废弃粮仓改造的“乡村798”文化创意园内，其作为艺术产业创意园的一部分，保存着原汁原味的乡村气息，致力于用艺术更生态、更立体地展现松阳文化。
三门石窗艺术馆,浙江,浙江省台州市三门县蛇蟠岛,121.588168,29.140836,展示台州三门传统石雕窗艺术，弘扬传统文化，推进非遗传承与旅游业融合发展。
木心美术馆,浙江,浙江省嘉兴市乌镇西栅景区,120.484263,30.750266,致力于纪念和展示画家、作家木心先生的毕生心血与美学遗产。 提供木心完整文献。
泥美术馆（中国乡村影像中心,浙江,浙江省龙游县溪口村,119.1723,29.028214,泥美术馆是位于中国浙江省龙游县溪口未来乡村的一个特殊艺术空间。它原本是一座废弃的水电站，后来被改造成了中国乡村摄影艺术中心。泥美术馆的主要任务是挖掘、呈现和研究乡村主题的影像，包括纪录片、影像
上包乡村美术馆,浙江,浙江省兰溪市黄店镇上包村,119.388748,29.328467,通过艺术展览形式推广农民书画家、丰富村民文化精神，提升村庄文化内涵。
平头乡村美术馆,浙江,浙江省金华市武义县王宅镇平头村,119.706262,28.78185,以书画为依托，大力发展人文景观建设；力图吸引更多的艺术家共建乡村，打造全国性书画培训基地。
余东乡村美术馆,浙江,浙江省衢州市柯城区沟溪乡余东村,118.732801,28.978701,余东村以农名画闻名于世，立志打造余东农民画乃至中国农民画的创作中心、展示中心、交流中心、研究中心。
“陌上阳春”美术馆,浙江,浙江省诸暨市枫桥镇阳春村,120.384663,29.743125,弘扬“诸暨三贤”、丰富枫桥、让书画爱好者有一个文化交流的场所。
彩虹斑马美术馆,浙江,浙江省义乌市后宅街道李祖村,120.011012,29.365765,推介当地艺术家、举办展览、沙龙等，为当地渴望深度学习、施展才华的美术教师、美术爱好者提供平台。
霞山乡村振兴美术馆 ,浙江,浙江省衢州市开化县马金镇霞山村,118.410112,29.330455,以美术馆为中心，形成较完善的治人、育人体系。构建乡村治理和文化艺术的两大纽带，实现乡村五大振兴。
妙山美术馆,浙江,浙江省湖州市吴兴区妙西镇妙山村,119.987428,30.76718,与同济大学团队合作，设计现代化，设施完备，以“乡村人文艺术活动、实现乡村文化艺术发展”为宗旨。
后舍美术馆,浙江,浙江省丽水市松阳县竹源乡后畲村,119.465433,28.361882,古屋改造，依托村内十四个驻地艺术家，冀以借助艺术的力量，实现文化振兴乡村。
沿坑岭头村美术馆,浙江,浙江省丽水市松阳县枫坪乡沿坑岭头村,119.251079,28.333989,由古屋改造，有综合接待中心、农产品文创区、展品成列去，是打造“画家村”的关键设施。
蔓漫美术馆,浙江,浙江省湖州市安吉县灵峰街道蔓塘里自然村,119.623336,30.596736,与浙江省漫画家协会合作，一个以漫画为特色，同时展出一些民间乡土艺术的文创中心。
大均乡畲族民间绘画馆,浙江,浙江省丽水市景宁县大均乡,119.565359,27.951489,资料暂缺
礼张美术馆,浙江,浙江省金华市浦江县岩头镇浦江县李张村,119.952406,29.479461,资料暂缺
金临轩美术馆,浙江,浙江省温州市瓯海区泽雅镇,120.48394,28.029494,资料暂缺
祝温文化艺术馆,浙江,浙江省绍兴市上虞区崧厦镇祝温村,120.811003,30.111137,资料暂缺
石门村美术馆,浙江,浙江省绍兴市诸暨市马剑镇石门村,120.025538,29.745583,敬仰前贤，传承传统文化；带动乡村旅游产业发展。
群岛美术馆,浙江,浙江省舟山市定海区干览镇,,,新建村乡村艺术馆以红色为建筑主色调，以现代风为主基调，分为上下两层。主要包括艺术品序厅、文创展厅、渔民画展厅，现场展出渔民画、渔民画衍生品及20位舟山画家画舟山美术作品等，将海岛乡村与文艺美学相融合。
溪里方美术馆,浙江,浙江省宁波市象山,121.869251,29.476826,资料暂缺
乡村七九八文化创意园美术馆,浙江,浙江省丽水市松阳县叶村乡河头村,119.4595,28.440889,资料暂缺
